paris	NOM	pari
saint-etienne	ADJ	saint-etienne
,	PUN	,
deuxième	NUM	deuxième
club	NOM	club
le	DET:ART	le
plus	ADV	plus
titré	VER:pper	titrer
en	PRP	en
coupe	NOM	coupe
de	PRP	de
france	NOM	france
(	PUN	(
6	NUM	@card@
),	NOM	),
a	VER:pres	avoir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
renouer	VER:infi	renouer
,	PUN	,
l'	DET:ART	le
espace	NOM	espace
d'	PRP	de
un	DET:ART	un
match	NOM	match
de	PRP	de
gala	NOM	gala
face	NOM	face
au	PRP:det	au
leader	NOM	leader
de	PRP	de
l	NOM	l
2	NUM	@card@
le	DET:ART	le
mans	NOM	man
,	PUN	,
avec	PRP	avec
son	DET:POS	son
glorieux	ADJ	glorieux
passé	NOM	passé
et	KON	et
son	DET:POS	son
précieux	ADJ	précieux
public	NOM	public
.	SENT	.
une	DET:ART	un
qualification	NOM	qualification
des	PRP:det	du
verts	NOM	vert
donnerait	VER:cond	donner
une	DET:ART	un
bouffée	NOM	bouffée
d'	PRP	de
air	NOM	air
frais	ADJ	frais
à	PRP	à
un	DET:ART	un
club	NOM	club
en	PRP	en
panne	NOM	panne
de	PRP	de
performance	NOM	performance
(	PUN	(
15	NUM	@card@
e	NOM	e
de	PRP	de
l	ADJ	l
2)	NOM	2)
et	KON	et
une	DET:ART	un
once	NOM	once
d'	PRP	de
espoir	NOM	espoir
à	PRP	à
un	DET:ART	un
chaudron	NOM	chaudron
de	PRP	de
geoffroy-guichard	NOM	geoffroy-guichard
qui	PRO:REL	qui
se	PRO:PER	se
meurt	VER:pres	mourir
à	PRP	à
feux	NOM	feu
doux	ADJ	doux
.	SENT	.
