bar-le-duc	NOM	bar-le-duc
r	VER:subi	r
février	NOM	février
),	ADJ	),
hbc	ADJ	hbc
montmédy	NOM	montmédy
viendra	VER:futu	venir
compléter	VER:infi	compléter
le	DET:ART	le
groupe	NOM	groupe
.	SENT	.
les	DET:ART	le
classements	NOM	classement
promotion	NOM	promotion
lorraine	ADJ	lorrain
masculins	ADJ	masculin
:	PUN	:
1	NUM	@card@
ras	NOM	ras
etain	ADJ	etain
(	PUN	(
2	NUM	@card@
)	PUN	)
21	NUM	@card@
points	NOM	point
;	PUN	;
2	NUM	@card@
ptt	NOM	ptt
bar	NOM	bar
(	PUN	(
2	NUM	@card@
)	PUN	)
19	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
hbc	NOM	hbc
montmédy	ADJ	montmédy
(	PUN	(
1	NUM	@card@
)	PUN	)
18	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
ornain	NOM	ornain
revigny	NAM	revigny
(	PUN	(
2	NUM	@card@
)	PUN	)
16	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
mj	NOM	mj
vaubecourt	ADJ	vaubecourt
(	PUN	(
2	NUM	@card@
)	PUN	)
14	NUM	@card@
pts	NOM	pts
;	PUN	;
6	NUM	@card@
as	NOM	as
vigneulles	NOM	vigneulles
13	NUM	@card@
pts	NOM	pts
;	PUN	;
7	NUM	@card@
cs	ADJ	cs
euville	NOM	euville
(	PUN	(
2	NUM	@card@
)	PUN	)
12	NUM	@card@
pts	NOM	pts
;	PUN	;
8	NUM	@card@
hbc	NOM	hbc
tronville	NOM	tronville
11	NUM	@card@
pts	NOM	pts
;	PUN	;
9	NUM	@card@
faec	NOM	faec
clermont	VER:futu	clermont
(	PUN	(
2	NUM	@card@
)	PUN	)
10	NUM	@card@
pts	NOM	pts
.	SENT	.
excellence	NOM	excellence
meuse	NOM	meuse
masculins	ADJ	masculin
:	PUN	:
1	NUM	@card@
asl	NOM	asl
cousances	VER:ppre	cousances
17	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
las	ADJ	las
void	NOM	void
(	PUN	(
2	NUM	@card@
)	PUN	)
17	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
hbc	NOM	hbc
damvillers	NOM	damvillers
16	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
hbc	NOM	hbc
montmédy	ADJ	montmédy
(	PUN	(
2	NUM	@card@
)	PUN	)
10	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
hbc	NOM	hbc
saint-mihiel	ADJ	saint-mihiel
(	PUN	(
2	NUM	@card@
)	PUN	)
10	NUM	@card@
pts	NOM	pts
;	PUN	;
6	NUM	@card@
asj	NOM	asj
rupt	ADJ	rupt
8	NUM	@card@
pts	NOM	pts
;	PUN	;
7	NUM	@card@
hbc	NOM	hbc
commercy	ADJ	commercy
(	PUN	(
2	NUM	@card@
)	PUN	)
7	NUM	@card@
pts	NOM	pts
;	PUN	;
8	NUM	@card@
us	NOM	us
thierville	NOM	thierville
(	PUN	(
2	NUM	@card@
)	PUN	)
5	NUM	@card@
pts	NOM	pts
.	SENT	.
promotion	NOM	promotion
lorraine	NOM	lorrain
féminines	ADJ	féminin
1	NUM	@card@
è	NOM	è
re	VER:subi	re
phase	NOM	phase
:	PUN	:
1	NUM	@card@
us	NOM	us
thierville	NOM	thierville
21	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
mj	NOM	mj
vaubecourt	VER:pres	vaubecourt
18	NUM	@card@
pts	NOM	pts
;	PUN	;
3	NUM	@card@
faec	NOM	faec
clermont	VER:futu	clermont
17	NUM	@card@
pts	NOM	pts
;	PUN	;
4	NUM	@card@
us	NOM	us
varennes	NOM	varenne
13	NUM	@card@
pts	NOM	pts
;	PUN	;
5	NUM	@card@
as	NOM	as
vigneulles	NOM	vigneulles
10	NUM	@card@
pts	NOM	pts
.	SENT	.
