remiremont	VER:futu	remiremont
firent	VER:simp	faire
rapidement	ADV	rapidement
déborder	VER:infi	déborder
de	PRP	de
france	NOM	france
le	DET:ART	le
succès	NOM	succès
de	PRP	de
l'	DET:ART	le
initiative	NOM	initiative
.	SENT	.
les	DET:ART	le
«	PUN:cit	«
relais	NOM	relais
du	PRP:det	du
silence	NOM	silence
»	PUN:cit	»
comptent	VER:pres	compter
aujourd'hui	ADV	aujourd'hui
270	NUM	@card@
ambassadeurs	NOM	ambassadeur
dans	PRP	dans
douze	NUM	douze
pays	NOM	pays
européens	ADJ	européen
:	PUN	:
140	NUM	@card@
en	PRP	en
france	NOM	france
,	PUN	,
40	NUM	@card@
en	PRP	en
allemagne	NOM	allemagne
,	PUN	,
15	NUM	@card@
au	PRP:det	au
benelux	NOM	benelux
,	PUN	,
10	NUM	@card@
en	PRP	en
autriche	NOM	autriche
,	PUN	,
autant	ADV	autant
en	PRP	en
italie	NOM	italie
...	PUN	...
ils	PRO:PER	il
se	PRO:PER	se
partagent	VER:pres	partager
un	DET:ART	un
privilège	NOM	privilège
unique	ADJ	unique
;	PUN	;
l'	DET:ART	le
accès	NOM	accès
à	PRP	à
un	DET:ART	un
guide	NOM	guide
gratuit	ADJ	gratuit
édité	VER:pper	éditer
à	PRP	à
800.000	NUM	@card@
exemplaires	NOM	exemplaire
tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
ans	NOM	an
.	SENT	.
et	KON	et
une	DET:ART	un
part	NOM	part
croissante	ADJ	croissant
de	PRP	de
réservations	NOM	réservation
sur	PRP	sur
internet	NOM	Internet
(	PUN	(
500.000	NUM	@card@
euros	NOM	euro
en	PRP	en
2002	NUM	@card@
sur	PRP	sur
un	DET:ART	un
ca	NOM	ca
de	PRP	de
2.800	NUM	@card@
.	SENT	.
000	NUM	@card@
euros	NOM	euro
).	ADJ	).
a	VER:pres	avoir
présent	ADJ	présent
,	PUN	,
le	DET:ART	le
concept	NOM	concept
«	PUN:cit	«
relais	NOM	relais
du	PRP:det	du
silence	NOM	silence
»	PUN:cit	»
entend	VER:pres	entendre
s'	PRO:PER	se
ouvrir	VER:infi	ouvrir
vers	PRP	vers
la	DET:ART	le
ville	NOM	ville
.	SENT	.
«	PUN:cit	«
un	DET:ART	un
hôtel	NOM	hôtel
peut	VER:pres	pouvoir
très	ADV	très
bien	ADV	bien
être	VER:infi	être
installé	VER:pper	installer
en	PRP	en
ville	NOM	ville
,	PUN	,
dans	PRP	dans
un	DET:ART	un
secteur	NOM	secteur
calme	ADJ	calme
et	KON	et
réunir	VER:infi	réunir
toutes	PRO:IND	tout
les	DET:ART	le
conditions	NOM	condition
de	PRP	de
l'	DET:ART	le
adhésion	NOM	adhésion
»,	ADJ	»,
martèle	VER:pres	marteler
le	DET:ART	le
président	NOM	président
.	SENT	.
