mercredi	NOM	mercredi
élus	NOM	élu
,	PUN	,
henri	VER:pper	henri
robert	NOM	robert
a	VER:pres	avoir
remis	VER:pper	remettre
le	DET:ART	le
chèque	NOM	chèque
à	PRP	à
marie-claire	NOM	marie-claire
mauponne	ADJ	mauponne
,	PUN	,
d'	PRP	de
un	DET:ART	un
montant	NOM	montant
de	PRP	de
5672,43	NUM	@card@
,	NOM	,
devant	PRP	devant
les	DET:ART	le
yeux	NOM	œil
des	PRP:det	du
élus	NOM	élu
et	KON	et
des	PRP:det	du
présidents	NOM	président
d'	PRP	de
associations	NOM	association
participantes	ADJ	participant
.	SENT	.
«	PUN:cit	«
je	PRO:PER	je
remercie	VER:pres	remercier
la	DET:ART	le
ccvme	NOM	ccvme
de	PRP	de
sa	DET:POS	son
participation	NOM	participation
.	SENT	.
je	PRO:PER	je
remarque	VER:pres	remarquer
que	KON	que
votre	DET:POS	votre
intercommunalité	NOM	intercommunalité
en	PRO:PER	en
a	VER:pres	avoir
influencé	VER:pper	influencer
d'	PRP	de
autres	ADJ	autre
.	SENT	.
en	PRP	en
2001	NUM	@card@
elle	PRO:PER	elle
était	VER:impf	être
la	DET:ART	le
seule	ADJ	seul
à	PRP	à
se	PRO:PER	se
mobiliser	VER:infi	mobiliser
de	PRP	de
la	DET:ART	le
sorte	NOM	sorte
.	SENT	.
en	PRP	en
2002	NUM	@card@
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
blâmont	VER:futu	blâmont
ou	KON	ou
encore	ADV	encore
le	DET:ART	le
regroupement	NOM	regroupement
d'	PRP	de
haroué	NOM	haroué
ont	VER:pres	avoir
suivi	VER:pper	suivre
votre	DET:POS	votre
pas	NOM	pas
»,	ADJ	»,
souligna	VER:simp	souligner
marie-claire	NOM	marie-claire
mauponne	ADJ	mauponne
,	PUN	,
coordinatrice	NOM	coordinateur
départementale	ADJ	départemental
du	PRP:det	du
téléthon	NOM	téléthon
à	PRP	à
l'	DET:ART	le
afm	NOM	afm
téléthon	NOM	téléthon
de	PRP	de
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
.	SENT	.
suite	NOM	suite
à	PRP	à
cérémonie	NOM	cérémonie
,	PUN	,
tous	PRO:IND	tout
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
autour	ADV	autour
du	PRP:det	du
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
