près	ADV	près
sur	PRP	sur
l'	DET:ART	le
intercommunalité	NOM	intercommunalité
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
faut	VER:pres	falloir
la	PRO:PER	la
considérer	VER:infi	considérer
comme	ADV	comme
un	DET:ART	un
instrument	NOM	instrument
de	PRP	de
gestion	NOM	gestion
,	PUN	,
la	DET:ART	le
commune	NOM	commune
restant	VER:ppre	rester
la	DET:ART	le
cellule	NOM	cellule
de	PRP	de
base	NOM	base
».	VER:subi	».
jean-claude	NOM	jean-claude
kubler	NOM	kubler
a	VER:pres	avoir
alors	ADV	alors
précisé	VER:pper	préciser
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
réticence	NOM	réticence
de	PRP	de
notre	DET:POS	notre
part	NOM	part
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
simplement	ADV	simplement
une	DET:ART	un
période	NOM	période
d'	PRP	de
observation	NOM	observation
».	ADJ	».
