montbéliard	NOM	montbéliard
;	PUN	;
6	NUM	@card@
monaco	NOM	monaco
,	PUN	,
lens	NOM	lens
et	KON	et
bordeaux	NOM	bordeau|bordeaux
21	NUM	@card@
;	PUN	;
8	NUM	@card@
psg	NOM	psg
23	NUM	@card@
auxerre	NOM	auxerre
,	PUN	,
lille	NOM	lille
,	PUN	,
strasbourg	NOM	strasbourg
20	NUM	@card@
;	PUN	;
12	NUM	@card@
guingamp	NOM	guingamp
19	NUM	@card@
;	PUN	;
13	NUM	@card@
nantes	NOM	nantes
et	KON	et
lens	NOM	lens
18	NUM	@card@
;	PUN	;
15	NUM	@card@
rennes	NOM	renne
16	NUM	@card@
;	PUN	;
16	NUM	@card@
sedan	NOM	sedan
16	NUM	@card@
;	PUN	;
17	NUM	@card@
montpellier	NOM	montpellier
15	NUM	@card@
;	PUN	;
18	NUM	@card@
troyes	NOM	troyes
et	KON	et
ajaccio	NOM	ajaccio
12	NUM	@card@
;	PUN	;
20	NUM	@card@
le	DET:ART	le
havre	NOM	havre
9	NUM	@card@
a	VER:pres	avoir
l'	DET:ART	le
extérieur	NOM	extérieur
1	NUM	@card@
auxerre	NOM	auxerre
16	NUM	@card@
points	NOM	point
;	PUN	;
2	NUM	@card@
guingamp	NOM	guingamp
15	NUM	@card@
;	PUN	;
3	NUM	@card@
monaco	NOM	monaco
14	NUM	@card@
;	PUN	;
4	NUM	@card@
marseille	NOM	marseille
et	KON	et
lyon	NOM	lyon
13	NUM	@card@
;	PUN	;
6	NUM	@card@
nice	ADJ	nice
12	NUM	@card@
;	PUN	;
7	NUM	@card@
le	DET:ART	le
havre	NOM	havre
11	NUM	@card@
;	PUN	;
8	NUM	@card@
nantes	NOM	nantes
et	KON	et
rennes	NOM	renne
10	NUM	@card@
;	PUN	;
11	NUM	@card@
bordeaux	NOM	bordeau|bordeaux
et	KON	et
psg	NOM	psg
9	NUM	@card@
;	PUN	;
13	NUM	@card@
sedan	NOM	sedan
,	PUN	,
lille	NOM	lille
,	PUN	,
strasbourg	NOM	strasbourg
et	KON	et
ajaccio	NOM	ajaccio
8	NUM	@card@
;	PUN	;
17	NUM	@card@
sochaux	NOM	sochaux
7	NUM	@card@
;	PUN	;
18	NUM	@card@
troyes	NOM	troyes
4	NUM	@card@
;	PUN	;
19	NUM	@card@
montpellier	NOM	montpellier
et	KON	et
bastia	VER:simp	bastia
3	NUM	@card@
les	DET:ART	le
buts	NOM	but
sur	PRP	sur
coups	NOM	coup
de	PRP	de
pied	NOM	pied
arrêtés	VER:pper	arrêter
1	NUM	@card@
bordeaux	NOM	bordeau|bordeaux
et	KON	et
psg	NOM	psg
12	NUM	@card@
;	PUN	;
3	NUM	@card@
nice	ADJ	nice
et	KON	et
lyon	NOM	lyon
11	NUM	@card@
;	PUN	;
5	NUM	@card@
lens	NOM	lens
9	NUM	@card@
;	PUN	;
6	NUM	@card@
strasbourg	NOM	strasbourg
8	NUM	@card@
;	PUN	;
7	NUM	@card@
guingamp	NOM	guingamp
,	PUN	,
monaco	NOM	monaco
,	PUN	,
nantes	ADJ	nantes
et	KON	et
rennes	NOM	renne
7	NUM	@card@
;	PUN	;
11	NUM	@card@
auxerre	NOM	auxerre
,	PUN	,
bastia	NOM	bastia
,	PUN	,
marseille	NOM	marseille
,	PUN	,
montpellier	NOM	montpellier
et	KON	et
troyes	NOM	troyes
6	NUM	@card@
;	PUN	;
16	NUM	@card@
ajaccio	NOM	ajaccio
et	KON	et
sochaux	NOM	sochaux
5	NUM	@card@
;	PUN	;
18	NUM	@card@
le	DET:ART	le
havre	NOM	havre
4	NUM	@card@
;	PUN	;
19	NUM	@card@
lille	NOM	lille
3	NUM	@card@
;	PUN	;
20	NUM	@card@
sedan	NOM	sedan
2	NUM	@card@
